1635290806.1011806,156430,387044,0,3270112,2606361,301787,58785,382
1635290808.3038867,108101,598887,0,1024525,726852,52557,31031,369
1635290808.3038867,84624,552818,0,3339952,2905516,109084,29333,376
1635290808.5041473,69157,244380,0,802467,865976,219860,54815,389
1635290809.5053303,25955,409337,0,3274349,2639310,71845,14659,389
1635290810.5065088,24256,297495,0,83276,54099,40824,7882,389
1635290811.5076828,69841,249688,0,2079491,2001458,142810,27401,389
1635290812.5088642,44361,303494,0,75292,50479,57718,26115,392
1635290813.5100746,89004,438180,0,2809946,2128285,3563,3456,406
1635290814.5112517,121000,791375,0,1936981,1779913,15688,15213,408
1635290815.5125685,75456,440170,0,2633174,2134420,1666,2668,418
1635290816.5137453,88158,608196,0,2028843,431643,2158,3607,421
1635290817.5149202,77732,445075,0,2700355,2098889,912,1465,419
1635290818.5160942,115461,506375,0,1295718,663081,10677,15717,414
1635290819.5172827,85002,467000,0,2310019,2138472,2101,3841,419
1635290820.518454,107783,486237,0,562277,1480073,8836,13491,414
1635290821.5196445,70509,455349,0,2432991,2155543,3093,5423,418
1635290822.5208437,91140,615193,0,1638175,1009889,990,1816,416
1635290823.5220182,76808,446017,0,2612503,2133566,592,1100,418
1635290824.5231943,94638,599932,0,1547126,303659,11397,17065,413
1635290825.5243852,71230,457411,0,2098544,2110200,4010,7421,417
1635290826.5255618,122240,525693,0,1160881,826969,9886,14423,412
1635290827.5267649,73051,449426,0,3051130,2143991,2321,4247,414
1635290828.5279422,104540,645628,0,1852621,812748,1282,2254,415
1635290829.5291188,64505,468012,0,3115344,2136108,1026,1820,420
1635290830.5303128,78413,584422,0,1922636,666913,11967,15905,408
1635290831.5315213,87900,446036,0,2822040,2114193,4397,7807,410
1635290832.532709,126756,849583,0,2694154,688797,3729,5356,413
1635290833.4843438,79212,457931,0,2544077,2146343,7806,13840,418
1635290834.4855332,116437,773542,0,1339626,1252419,921,1667,421
1635290835.4867089,101458,487237,0,2588458,2131728,701,1282,420
1635290836.4878829,156667,669746,0,1632127,1466940,1072,1907,422
1635290837.4890583,99876,451995,0,2277045,2170570,12582,19144,414
1635290838.4902482,114350,861302,0,2454307,600362,1651,3091,422
1635290839.4914317,99503,486891,0,2023671,2133424,7352,11343,415
1635290840.4926238,165831,682940,0,1221292,1722276,1549,2910,418
1635290841.4938035,98014,469019,0,2590222,2170808,1874,3252,418
1635290842.4949844,123327,799878,0,2462785,742087,686,1243,419
1635290843.4961617,98426,492002,0,2734569,2125046,11268,17302,413
1635290844.497373,137029,757845,0,1528010,1501122,2575,4783,421
1635290845.4985464,97961,488074,0,2586076,2144122,8725,14388,415
1635290846.499755,140864,875735,0,2414337,847814,1797,3373,420
1635290847.501017,96040,514678,0,2153571,2102862,779,1424,418
1635290848.5022714,127426,824526,0,1506449,1433486,840,1494,420
1635290849.503534,100937,494938,0,2364710,2118631,11554,16911,411
1635290850.5048454,137303,799995,0,2408314,904916,2810,5112,417
1635290851.5061102,92512,489369,0,2634154,2096334,10060,14951,412
1635290852.5073848,145834,832825,0,1364337,1367922,2616,4863,421
1635290853.508641,96082,511898,0,2998114,2105156,1089,1985,416
1635290854.5098984,127754,751005,0,2308099,1165512,735,1358,418
1635290855.5111423,91663,497130,0,2732909,2106210,8465,11726,411
1635290856.5124128,135888,740415,0,1937941,1013848,4324,7993,420
1635290857.513669,85538,482741,0,2328852,2093064,2356,3724,413
1635290858.5149312,140725,839812,0,1841697,1316506,6141,10837,418
1635290859.5161855,85088,497495,0,1795211,2102552,1793,3182,419
1635290860.5174348,133767,845891,0,2110452,1148560,1486,2734,420
1635290861.5186827,90479,505532,0,2338912,2095428,1175,1989,416
1635290862.51993,130571,761667,0,2069271,1044084,11352,17518,414
1635290863.5212173,87880,505688,0,2240879,2102442,1857,3412,418
1635290864.522472,149554,774387,0,1614394,1311333,95617,146347,395
1635290865.5237517,81021,495069,0,1963732,2124513,35734,8558,387
1635290866.5250149,139137,908947,0,2076537,1274500,12183,4482,386
1635290867.5262754,87069,487961,0,2314183,2102889,4875,1840,386
1635290868.527534,137017,757464,0,2093973,1297562,39541,13192,384
1635290869.528777,90902,658558,0,2781641,2638245,16058,13595,386
1635290870.5299768,233257,1158734,0,2552758,1490117,5492,1857,378
1635290871.5315282,92805,476403,0,2445226,2092501,214,192,386
