1635342031.7962382,7682690,70370167,852120442,7603562,68778228,173452,6753478,8337832,77961486,12210690,286960
1635342031.8963687,8126634,74999151,826178421,8404962,75177401,178769,7090181,7901336,75111450,10306072,323837
1635342031.9964943,8902385,84828618,926178159,9140976,83497790,176191,49726673,7435154,79211374,13883237,331243
1635342032.0966206,8859149,83185596,912228984,8806950,83947857,184828,7472097,9268224,86304505,13638031,314855
1635342032.1967473,8468426,75881889,906048127,8619890,81768565,201990,7840890,10123378,96389849,14196387,343252
1635342032.2968774,10181634,92298989,903741219,9701885,90666048,204817,7385292,9599124,91800531,15340731,351866
1635342032.3970041,9611217,89476083,903770846,9454507,90364283,210564,8480964,10780201,102762954,15919244,351496
1635342032.4971285,9147424,87718438,905868837,9689123,91990739,211788,7796935,9636739,91386185,14445645,344657
1635342032.5972533,9618976,91335851,904501182,9855230,92208926,215590,8190554,10860773,97409520,14931804,372341
1635342032.747441,9742465,93042325,905650255,9956670,93982174,230988,9275214,10969612,98986862,13989553,388112
1635342032.8475802,9179684,86840480,908381074,9302501,84437848,194398,7501904,9622467,92664280,13289814,386439
1635342032.9477055,9686535,86832630,911394514,9842058,95797673,210338,8470863,10739577,91747515,15246402,402594
1635342033.0478306,9570862,85471721,905834402,8912734,85412109,208388,8484087,10180514,95646450,14979832,391379
1635342033.1479573,9288017,88772812,910869316,8917665,82436867,214333,7944864,9887627,94625775,15267526,404862
1635342033.248082,10435303,97946983,919188409,9943465,88981084,212873,8717516,10159875,96001030,15292353,428635
1635342033.3482084,9307792,87900278,919964614,9585489,87093958,204693,7778396,10061366,94854617,13492905,372918
1635342033.448338,9235104,86468396,921212143,9605360,87063248,196335,7782186,9935714,91943474,14600415,390165
1635342033.5484622,10073538,91884169,918868679,9623184,85404380,200224,8359006,10122889,97279050,14906055,420477
1635342033.6485882,9775525,91018471,920911729,9660520,85878681,194679,6997257,10110069,88071504,14805855,400286
1635342033.7487147,9739160,92667730,925346097,9743126,90677341,203256,8046599,9937490,93214975,14476026,401379
1635342033.8488543,9871106,91654357,918186227,9757385,89197564,212475,8046681,10555786,99697309,15479573,419178
1635342033.9489818,9511135,89560974,920507912,9595531,86190909,194511,7288737,8825219,90323675,15053117,393990
1635342034.0491085,9854715,89465513,918759612,9682795,94870217,224015,8833562,10120601,90911326,14850078,409357
1635342034.149235,9760960,89556128,922373729,9454306,91202331,225413,8605358,9410756,86601412,12979483,402069
1635342034.2493606,9637952,90823459,921094397,9181984,85888516,207053,8247908,10108581,91313324,13038375,397544
1635342034.3494873,9577133,94790523,920867422,9801765,87666329,205169,8255948,11575547,94257394,14115309,401785
1635342034.4496138,8861848,86072581,915325154,10360275,92851296,204971,7877444,10098171,95190235,14488306,387614
1635342034.5497396,10443972,97590580,884293135,10284444,88933650,200568,7923236,12004213,111330061,15715674,411112
1635342034.6498668,11934005,105347050,743204959,11977357,106794068,257353,10809689,11958582,111483682,17825721,439075
1635342034.7500157,11636246,103651068,729715823,11749752,103834636,306936,10559325,11770174,108913249,17501497,431411
1635342034.850154,11986228,105413751,744275368,11957875,106689102,265842,10840413,11970795,110628706,16823508,437101
1635342034.9502933,12031123,106498447,746813587,11993660,107048329,252611,10185962,13725559,106220296,16211616,437755
1635342035.050424,11975778,106601492,744539751,11948837,105830575,247140,10752432,11910228,111168115,17813405,435305
1635342035.1505525,11962724,106532738,745740256,11952440,105945575,272784,10954304,12049366,112203555,17907016,446629
1635342035.2506778,11983979,106438572,743776085,11979722,106269803,269435,10790165,11951900,111741263,17915579,440125
1635342035.350803,12002801,106860640,746813689,12015374,106171561,257882,10820099,11957091,111816195,17839573,439413
1635342035.4509308,11949978,105992919,744530705,11962194,105360717,253831,10900717,11953299,111713653,17909641,439651
1635342035.551057,12001440,106567335,745797803,11971103,106007124,262384,10726391,11951794,111495417,17841085,436034
1635342035.651182,11847984,105769736,740140390,11915305,106189167,257137,10663125,11841539,110901356,17739444,433990
1635342035.7513063,11684196,103600265,729517234,11665701,103731506,276995,10483934,11703002,109046071,17547424,426249
1635342035.8514416,11976815,106247972,744124220,11870287,105593309,261610,10689183,11916788,111396222,17882043,435559
1635342035.9515672,11915120,105805600,743229611,11866974,105825402,253140,10644465,11892129,111501404,17815993,430677
1635342036.0516937,11778579,105659154,745222396,11964514,106008193,266895,10657161,11903818,111347363,17852094,433052
1635342036.1518192,12010367,106641492,747995258,11996485,106280860,259276,10884643,11936262,111496925,17890655,455116
1635342036.251945,11978296,106667401,746722219,11981098,106566160,269781,10882835,11915968,111672400,17970223,436683
1635342036.3520699,11961653,106212757,744281089,11981959,106471886,243580,10837871,11907802,111644958,17916861,437858
1635342036.452194,11975612,106613756,744502099,11919825,106244017,242459,10851570,11894689,111053698,17812160,431242
1635342036.5523186,11940108,106267114,744750392,11958793,106437585,263767,10834597,11905300,111701062,17929899,434515
1635342036.6524434,11800379,105657026,736546206,11852149,105698469,250210,10732604,11751535,110656295,17722403,434057
1635342036.7525682,11658645,103726684,725532341,11659139,103862818,246005,10572934,11570012,108332837,17432212,425549
1635342036.8527038,11942617,106234764,741906333,11902712,105948803,241471,10848184,11816649,110966518,17888900,438712
1635342036.9528284,11826103,105707496,739209013,11880792,106160943,272410,10819382,11779428,110804229,17778132,434997
1635342037.052962,11856075,105707730,737774808,11916718,106089241,257745,10851143,11863230,111224617,17771465,436379
1635342037.1531017,11909094,106048072,739380221,11925983,106315531,253396,10916572,11831590,111395791,17808868,442218
